Order_ID,SKU,Category,Warehouse_Zone,Units,Storage_Area_SqFt,Picking_Time_Min,Packing_Time_Min,Labour_Cost_Per_Hour,Transportation_Cost,Order_Revenue,Total_Handling_Time_Min,Labour_Cost,Variable_Cost,Warehouse_Rent_Allocated,Utilities_Allocated,Total_Order_Cost,Contribution,Cost_Per_Unit,Contribution_Margin_%
ORD10001,SKU151,FMCG,B,7,14.55,2.57,4.66,180,271.24,1683.05,7.23,21.69,292.93,25.0,5.0,322.93,1360.12,46.13,80.81
ORD10002,SKU114,Apparel,D,10,12.22,4.25,4.94,180,308.87,839.55,9.190000000000001,27.57,336.44,25.0,5.0,366.44,473.11,36.64,56.35
ORD10003,SKU171,Apparel,A,2,2.34,3.31,4.09,140,247.27,4725.2,7.4,17.27,264.54,25.0,5.0,294.54,4430.66,147.27,93.77
ORD10004,SKU160,Personal Care,E,14,15.5,5.99,5.24,160,161.8,3985.77,11.23,29.95,191.75,25.0,5.0,221.75,3764.02,15.84,94.44
ORD10005,SKU120,Personal Care,B,2,5.87,11.23,7.43,160,271.15,2473.24,18.66,49.76,320.91,25.0,5.0,350.91,2122.33,175.46,85.81
ORD10006,SKU174,Personal Care,A,13,16.78,6.72,3.54,180,95.17,4365.32,10.26,30.78,125.95,25.0,5.0,155.95,4209.37,12.0,96.43
ORD10007,SKU174,Apparel,C,4,19.46,2.13,6.08,180,134.82,1472.45,8.21,24.63,159.45,25.0,5.0,189.45,1283.0,47.36,87.13
ORD10008,SKU123,Home & Kitchen,D,1,13.51,4.83,7.26,160,204.94,3670.47,12.09,32.24,237.18,25.0,5.0,267.18,3403.29,267.18,92.72
ORD10009,SKU102,Apparel,A,3,14.47,2.45,4.19,160,214.13,4323.82,6.640000000000001,17.71,231.84,25.0,5.0,261.84,4061.98,87.28,93.94
ORD10010,SKU121,Home & Kitchen,B,13,23.88,2.36,4.1,140,37.09,1976.81,6.459999999999999,15.07,52.16,25.0,5.0,82.16,1894.65,6.32,95.84
